,Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L),Points,Month
3721,2023-11-17,C,ERW_C08P2020090119,Reseller,Uttaradit,143899,MOBIL ATF 220 SYN TECH CTN 12X1L:TH,1940,1,11
3722,2023-09-29,C,ERW_C08P2020090127,Reseller,Phrae,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,5180,2,9
3723,2023-02-21,C,ERW_C08P2020090147,Retails,Chiang Mai,143507,MOBIL SUPER 2000 10W40 4/4+1,1060,2,2
3724,2023-02-07,C,ERW_C08P2020090193,Retails,Sukhothai,134707,MOBIL DELVAC SUPER 20W-50 4X6LT CTN,8760,1,2
3725,2023-06-15,C,ERW_C08P2020090197,Retails,Chon Buri,145451,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE CTN 4X6L:TH,40,1,6
3726,2023-09-18,C,ERW_C08P2020090222,Retails,Nakhon Sawan,145498,MOBIL DELVAC Legend 15W40(CH-4) 20L,340,2,9
3727,2023-11-14,C,ERW_C08P2020090222,Retails,Nakhon Sawan,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,2260,2,11
3728,2023-11-14,C,ERW_C08P2020090222,Retails,Nakhon Sawan,145438,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE PAIL20L :TH,1840,1,11
3729,2023-01-24,C,ERW_C4M12022030001,Retails,Phrae,143898,MOBIL ATF 220 SYN TECH 20L/PAIL,9360,1,1
3730,2023-03-18,C,ERW_C9H62020120020,Retails,Chiang Rai,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,120,2,3
3731,2023-06-05,C,ERW_CA7Y2022040001,Retails,Phitsanulok,145451,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE CTN 4X6L:TH,800,1,6
3732,2023-06-27,C,ERW_CFNC2023070002,Retails,Phayao,145451,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE CTN 4X6L:TH,7680,1,6
3733,2023-12-25,C,ERW_CH0M2023080001,Retails,Chiang Mai,134782,MOBIL DELVAC 1340 4/6,9140,1,12
3734,2023-03-27,C,ERW_C08P2020090127,Reseller,Phrae,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,6240,2,3
3735,2023-02-13,C,ERW_C08P2020090127,Reseller,Phrae,135895,MOBIL LUBE HD 85W140 4/5,5220,1,2
3736,2023-02-13,C,ERW_C08P2020090127,Reseller,Phrae,135898,MOBIL LUBE HD 80W90 4/5,10000,1,2
